id;Name;TECNOLOGIA;RAPIDEZ;ALTITUDE;TEMPO;rxlevel_4G;x_;y_
64;-93 4G;4G;3 km/h;904m;2023.08.22_10.36.41;-93;-44.2262421;-21.0988639
65;-76 4G;4G;5 km/h;904m;2023.08.22_10.36.44;-76;-44.2263358;-21.0988123
66;-76 4G;4G;8 km/h;904m;2023.08.22_10.36.47;-76;-44.2264652;-21.098747
67;-79 4G;4G;9 km/h;904m;2023.08.22_10.36.48;-79;-44.2265457;-21.0986905
68;-85 4G;4G;11 km/h;904m;2023.08.22_10.36.51;-85;-44.2266484;-21.0986318
69;-85 4G;4G;12 km/h;904m;2023.08.22_10.36.54;-85;-44.2267383;-21.0985742
70;-89 4G;4G;12 km/h;904m;2023.08.22_10.36.57;-89;-44.2268322;-21.0985232
71;-93 4G;4G;11 km/h;904m;2023.08.22_10.37.00;-93;-44.2269162;-21.0984705
72;-84 4G;4G;10 km/h;904m;2023.08.22_10.37.04;-84;-44.2270208;-21.0984113
73;-84 4G;4G;10 km/h;904m;2023.08.22_10.37.08;-84;-44.2271141;-21.0983473
74;-84 4G;4G;10 km/h;905m;2023.08.22_10.37.10;-84;-44.2271996;-21.0982948
75;-86 4G;4G;11 km/h;905m;2023.08.22_10.37.13;-86;-44.2273038;-21.098228
76;-87 4G;4G;11 km/h;905m;2023.08.22_10.37.15;-87;-44.227385;-21.0981758
77;-85 4G;4G;12 km/h;904m;2023.08.22_10.37.18;-85;-44.2275097;-21.0981053
78;-93 4G;4G;12 km/h;904m;2023.08.22_10.37.21;-93;-44.2276196;-21.0980396
79;-92 4G;4G;12 km/h;903m;2023.08.22_10.37.24;-92;-44.2277244;-21.0979726
80;-92 4G;4G;11 km/h;902m;2023.08.22_10.37.27;-92;-44.2278174;-21.0979047
81;-92 4G;4G;12 km/h;902m;2023.08.22_10.37.29;-92;-44.2279184;-21.0978448
82;-87 4G;4G;13 km/h;902m;2023.08.22_10.37.31;-87;-44.2280188;-21.0977843
83;-87 4G;4G;13 km/h;903m;2023.08.22_10.37.33;-87;-44.2281117;-21.0977238
84;-87 4G;4G;14 km/h;902m;2023.08.22_10.37.35;-87;-44.2282141;-21.0976653
85;-80 4G;4G;14 km/h;902m;2023.08.22_10.37.37;-80;-44.2283014;-21.0976138
86;-85 4G;4G;14 km/h;902m;2023.08.22_10.37.40;-85;-44.2284129;-21.0975525
87;-85 4G;4G;12 km/h;902m;2023.08.22_10.37.44;-85;-44.2285054;-21.0975012
88;-91 4G;4G;6 km/h;901m;2023.08.22_10.37.52;-91;-44.2286055;-21.0975275
89;-90 4G;4G;16 km/h;901m;2023.08.22_10.37.54;-90;-44.2286598;-21.097619
90;-90 4G;4G;26 km/h;901m;2023.08.22_10.37.56;-90;-44.2286645;-21.0977428
91;-89 4G;4G;23 km/h;901m;2023.08.22_10.37.58;-89;-44.228641;-21.0978644
92;-90 4G;4G;26 km/h;901m;2023.08.22_10.38.00;-90;-44.2286219;-21.0979902
93;-91 4G;4G;33 km/h;901m;2023.08.22_10.38.02;-91;-44.2285994;-21.0981459
94;-91 4G;4G;36 km/h;901m;2023.08.22_10.38.03;-91;-44.2285867;-21.0982369
95;-91 4G;4G;37 km/h;901m;2023.08.22_10.38.03;-91;-44.2285752;-21.0983282
96;-93 4G;4G;39 km/h;901m;2023.08.22_10.38.05;-93;-44.2285612;-21.0984278
97;-93 4G;4G;41 km/h;901m;2023.08.22_10.38.06;-93;-44.2285469;-21.0985313
98;-93 4G;4G;42 km/h;901m;2023.08.22_10.38.07;-93;-44.2285331;-21.0986357
99;-93 4G;4G;42 km/h;901m;2023.08.22_10.38.08;-93;-44.2285172;-21.0987421
100;-93 4G;4G;41 km/h;901m;2023.08.22_10.38.09;-93;-44.2285023;-21.0988473
101;-93 4G;4G;40 km/h;901m;2023.08.22_10.38.10;-93;-44.2284885;-21.0989492
102;-89 4G;4G;39 km/h;901m;2023.08.22_10.38.11;-89;-44.2284768;-21.0990494
103;-89 4G;4G;38 km/h;901m;2023.08.22_10.38.11;-89;-44.2284648;-21.0991477
104;-90 4G;4G;38 km/h;902m;2023.08.22_10.38.13;-90;-44.2284553;-21.0992442
105;-90 4G;4G;37 km/h;902m;2023.08.22_10.38.13;-90;-44.2284475;-21.0993384
106;-90 4G;4G;37 km/h;902m;2023.08.22_10.38.15;-90;-44.2284399;-21.0994322
107;-90 4G;4G;37 km/h;902m;2023.08.22_10.38.16;-90;-44.2284313;-21.099526
108;-92 4G;4G;37 km/h;902m;2023.08.22_10.38.17;-92;-44.2284234;-21.0996197
109;-92 4G;4G;37 km/h;902m;2023.08.22_10.38.18;-92;-44.2284172;-21.0997136
110;-91 4G;4G;37 km/h;902m;2023.08.22_10.38.19;-91;-44.2284107;-21.0998077
111;-91 4G;4G;37 km/h;902m;2023.08.22_10.38.20;-91;-44.2284052;-21.0999012
112;-91 4G;4G;37 km/h;902m;2023.08.22_10.38.21;-91;-44.2283994;-21.0999969
113;-91 4G;4G;38 km/h;902m;2023.08.22_10.38.22;-91;-44.2283938;-21.1000946
114;-91 4G;4G;37 km/h;902m;2023.08.22_10.38.23;-91;-44.2283904;-21.1001911
115;-93 4G;4G;37 km/h;902m;2023.08.22_10.38.24;-93;-44.2283878;-21.1002853
116;-93 4G;4G;36 km/h;902m;2023.08.22_10.38.24;-93;-44.2283884;-21.100376
117;-93 4G;4G;33 km/h;902m;2023.08.22_10.38.27;-93;-44.2283899;-21.1005472
118;-92 4G;4G;24 km/h;902m;2023.08.22_10.38.28;-92;-44.2283941;-21.1006934
119;-92 4G;4G;17 km/h;902m;2023.08.22_10.38.31;-92;-44.2284025;-21.1007929
120;-89 4G;4G;21 km/h;902m;2023.08.22_10.38.33;-89;-44.2284015;-21.1008883
121;-93 4G;4G;18 km/h;902m;2023.08.22_10.38.35;-93;-44.2284048;-21.1009787
122;-93 4G;4G;22 km/h;901m;2023.08.22_10.38.37;-93;-44.2284137;-21.1010853
123;-93 4G;4G;31 km/h;902m;2023.08.22_10.38.39;-93;-44.2284287;-21.1012262
124;-95 4G;4G;36 km/h;902m;2023.08.22_10.38.41;-95;-44.2284473;-21.1014048
125;-93 4G;4G;39 km/h;902m;2023.08.22_10.38.42;-93;-44.2284577;-21.101504
126;-93 4G;4G;42 km/h;902m;2023.08.22_10.38.43;-93;-44.2284673;-21.1016114
127;-93 4G;4G;45 km/h;902m;2023.08.22_10.38.44;-93;-44.2284782;-21.1017236
128;-95 4G;4G;46 km/h;902m;2023.08.22_10.38.45;-95;-44.2284877;-21.1018379
129;-95 4G;4G;45 km/h;902m;2023.08.22_10.38.46;-95;-44.2284972;-21.1019518
130;-89 4G;4G;42 km/h;902m;2023.08.22_10.38.47;-89;-44.2285029;-21.1020568
131;-89 4G;4G;37 km/h;902m;2023.08.22_10.38.47;-89;-44.2285076;-21.1021504
132;-88 4G;4G;26 km/h;902m;2023.08.22_10.38.50;-88;-44.2285179;-21.1022962
133;-87 4G;4G;28 km/h;901m;2023.08.22_10.38.52;-87;-44.2285273;-21.1024315
134;-91 4G;4G;35 km/h;901m;2023.08.22_10.38.54;-91;-44.2285382;-21.1026021
135;-91 4G;4G;38 km/h;901m;2023.08.22_10.38.55;-91;-44.2285453;-21.1026976
136;-91 4G;4G;40 km/h;901m;2023.08.22_10.38.56;-91;-44.2285541;-21.1027974
137;-91 4G;4G;40 km/h;901m;2023.08.22_10.38.57;-91;-44.2285627;-21.1028989
138;-90 4G;4G;41 km/h;901m;2023.08.22_10.38.58;-90;-44.2285713;-21.1030024
139;-90 4G;4G;41 km/h;901m;2023.08.22_10.38.59;-90;-44.2285797;-21.1031065
140;-94 4G;4G;41 km/h;901m;2023.08.22_10.39.00;-94;-44.2285899;-21.1032104
141;-94 4G;4G;41 km/h;901m;2023.08.22_10.39.01;-94;-44.2285989;-21.1033137
142;-94 4G;4G;40 km/h;901m;2023.08.22_10.39.02;-94;-44.228607;-21.1034156
143;-94 4G;4G;40 km/h;901m;2023.08.22_10.39.03;-94;-44.2286154;-21.1035159
144;-94 4G;4G;39 km/h;901m;2023.08.22_10.39.04;-94;-44.2286239;-21.1036135
145;-93 4G;4G;37 km/h;901m;2023.08.22_10.39.05;-93;-44.2286334;-21.1037067
146;-93 4G;4G;31 km/h;902m;2023.08.22_10.39.07;-93;-44.2286484;-21.1038725
147;-93 4G;4G;27 km/h;902m;2023.08.22_10.39.09;-93;-44.2286486;-21.1040141
148;-92 4G;4G;24 km/h;902m;2023.08.22_10.39.11;-92;-44.2285898;-21.104125
149;-96 4G;4G;24 km/h;902m;2023.08.22_10.39.13;-96;-44.2284817;-21.1041895
150;-96 4G;4G;30 km/h;902m;2023.08.22_10.39.15;-96;-44.2283472;-21.1042645
151;-94 4G;4G;35 km/h;902m;2023.08.22_10.39.16;-94;-44.2281895;-21.1043577
152;-94 4G;4G;35 km/h;902m;2023.08.22_10.39.17;-94;-44.2281895;-21.1043577
153;-92 4G;4G;35 km/h;903m;2023.08.22_10.39.19;-92;-44.2280269;-21.1044493
154;-95 4G;4G;34 km/h;903m;2023.08.22_10.39.21;-95;-44.2278687;-21.1045428
155;-100 4G;4G;34 km/h;903m;2023.08.22_10.39.22;-100;-44.2278687;-21.1045428
156;-100 4G;4G;32 km/h;903m;2023.08.22_10.39.23;-100;-44.2277155;-21.1046273
157;-100 4G;4G;25 km/h;903m;2023.08.22_10.39.25;-100;-44.2275831;-21.1047048
158;-97 4G;4G;19 km/h;904m;2023.08.22_10.39.27;-97;-44.227479;-21.1047654
