id;Name;TECNOLOGIA;RAPIDEZ;ALTITUDE;TEMPO;rxlevel_4G;x_;y_
734;-94 4G;4G;20 km/h;918m;2023.08.22_11.02.44;-94;-44.2612377;-21.1321977
735;-94 4G;4G;20 km/h;919m;2023.08.22_11.02.46;-94;-44.261344;-21.1321784
736;-94 4G;4G;23 km/h;921m;2023.08.22_11.02.48;-94;-44.2614668;-21.132155
737;-91 4G;4G;25 km/h;923m;2023.08.22_11.02.50;-91;-44.2615967;-21.1321296
738;-96 4G;4G;25 km/h;926m;2023.08.22_11.02.52;-96;-44.2617329;-21.1321029
739;-96 4G;4G;25 km/h;928m;2023.08.22_11.02.54;-96;-44.2618675;-21.1320812
740;-91 4G;4G;25 km/h;928m;2023.08.22_11.02.54;-91;-44.2618675;-21.1320812
741;-91 4G;4G;24 km/h;931m;2023.08.22_11.02.55;-91;-44.2619991;-21.1320621
742;-93 4G;4G;17 km/h;932m;2023.08.22_11.02.58;-93;-44.2621136;-21.1320485
743;-95 4G;4G;21 km/h;934m;2023.08.22_11.02.59;-95;-44.2622208;-21.1320391
744;-95 4G;4G;22 km/h;935m;2023.08.22_11.03.02;-95;-44.262342;-21.1320161
745;-87 4G;4G;22 km/h;936m;2023.08.22_11.03.04;-87;-44.2624387;-21.1319668
746;-90 4G;4G;24 km/h;938m;2023.08.22_11.03.06;-90;-44.2625258;-21.1318751
747;-92 4G;4G;26 km/h;940m;2023.08.22_11.03.08;-92;-44.2626123;-21.1317655
748;-91 4G;4G;24 km/h;943m;2023.08.22_11.03.10;-91;-44.2626901;-21.1316619
749;-91 4G;4G;24 km/h;945m;2023.08.22_11.03.12;-91;-44.2627581;-21.1315529
750;-91 4G;4G;25 km/h;947m;2023.08.22_11.03.14;-91;-44.2627783;-21.1314306
751;-99 4G;4G;22 km/h;950m;2023.08.22_11.03.16;-99;-44.2627785;-21.1313148
752;-88 4G;4G;22 km/h;950m;2023.08.22_11.03.16;-88;-44.2627785;-21.1313148
753;-89 4G;4G;17 km/h;950m;2023.08.22_11.03.18;-89;-44.2627705;-21.1312192
754;-89 4G;4G;18 km/h;951m;2023.08.22_11.03.19;-89;-44.2627738;-21.1311271
755;-91 4G;4G;18 km/h;952m;2023.08.22_11.03.22;-91;-44.2628043;-21.1310396
756;-98 4G;4G;21 km/h;953m;2023.08.22_11.03.24;-98;-44.2628645;-21.1309562
757;-95 4G;4G;21 km/h;955m;2023.08.22_11.03.26;-95;-44.2629281;-21.1308575
758;-93 4G;4G;22 km/h;956m;2023.08.22_11.03.28;-93;-44.2630096;-21.1307729
759;-93 4G;4G;23 km/h;957m;2023.08.22_11.03.30;-93;-44.2631033;-21.130689
760;-93 4G;4G;25 km/h;957m;2023.08.22_11.03.32;-93;-44.2632042;-21.1306043
761;-91 4G;4G;27 km/h;959m;2023.08.22_11.03.34;-91;-44.2633211;-21.1305179
762;-91 4G;4G;26 km/h;961m;2023.08.22_11.03.35;-91;-44.2634391;-21.130449
763;-91 4G;4G;25 km/h;964m;2023.08.22_11.03.37;-91;-44.2635686;-21.1303941
764;-91 4G;4G;23 km/h;966m;2023.08.22_11.03.40;-91;-44.2636791;-21.1303328
765;-95 4G;4G;24 km/h;968m;2023.08.22_11.03.42;-95;-44.2637674;-21.1302475
766;-96 4G;4G;26 km/h;969m;2023.08.22_11.03.44;-96;-44.263846;-21.1301399
767;-96 4G;4G;26 km/h;971m;2023.08.22_11.03.46;-96;-44.2639013;-21.1300126
768;-87 4G;4G;10 km/h;971m;2023.08.22_11.03.49;-87;-44.2639288;-21.1299133
769;-89 4G;4G;22 km/h;972m;2023.08.22_11.03.51;-89;-44.2639523;-21.129768
770;-89 4G;4G;25 km/h;973m;2023.08.22_11.03.54;-89;-44.2639656;-21.129651
771;-87 4G;4G;29 km/h;974m;2023.08.22_11.03.55;-87;-44.2639815;-21.1295093
772;-88 4G;4G;24 km/h;974m;2023.08.22_11.03.57;-88;-44.2639992;-21.1293729
773;-92 4G;4G;11 km/h;975m;2023.08.22_11.04.02;-92;-44.2640207;-21.1292601
774;-92 4G;4G;20 km/h;975m;2023.08.22_11.04.04;-92;-44.2640362;-21.1291645
775;-92 4G;4G;23 km/h;975m;2023.08.22_11.04.06;-92;-44.2640544;-21.1290562
776;-92 4G;4G;26 km/h;977m;2023.08.22_11.04.08;-92;-44.2640956;-21.1289331
777;-90 4G;4G;30 km/h;977m;2023.08.22_11.04.10;-90;-44.2641654;-21.1288041
778;-90 4G;4G;28 km/h;979m;2023.08.22_11.04.12;-90;-44.2642519;-21.1286796
779;-91 4G;4G;16 km/h;979m;2023.08.22_11.04.14;-91;-44.2643214;-21.128606
780;-96 4G;4G;14 km/h;980m;2023.08.22_11.04.17;-96;-44.2643612;-21.1285078
781;-91 4G;4G;20 km/h;980m;2023.08.22_11.04.19;-91;-44.2643231;-21.1284182
782;-91 4G;4G;21 km/h;981m;2023.08.22_11.04.21;-91;-44.2642851;-21.1283194
783;-95 4G;4G;16 km/h;981m;2023.08.22_11.04.23;-95;-44.2642632;-21.1282248
784;-98 4G;4G;17 km/h;984m;2023.08.22_11.04.25;-98;-44.2642357;-21.1280978
785;-101 4G;4G;18 km/h;986m;2023.08.22_11.04.28;-101;-44.2642155;-21.1280093
786;-101 4G;4G;17 km/h;987m;2023.08.22_11.04.29;-101;-44.2641911;-21.1279161
787;-97 4G;4G;13 km/h;990m;2023.08.22_11.04.33;-97;-44.2641548;-21.1277931
788;-94 4G;4G;15 km/h;992m;2023.08.22_11.04.36;-94;-44.2641188;-21.1276872
789;-99 4G;4G;16 km/h;995m;2023.08.22_11.04.39;-99;-44.264072;-21.1275635
790;-101 4G;4G;19 km/h;996m;2023.08.22_11.04.41;-101;-44.2640398;-21.1274723
791;-101 4G;4G;19 km/h;997m;2023.08.22_11.04.43;-101;-44.2640073;-21.127376
792;-101 4G;4G;20 km/h;998m;2023.08.22_11.04.45;-101;-44.2639781;-21.1272763
793;-104 4G;4G;18 km/h;999m;2023.08.22_11.04.47;-104;-44.2639481;-21.1271791
794;-105 4G;4G;5 km/h;999m;2023.08.22_11.04.50;-105;-44.2639131;-21.1270915
795;-97 4G;4G;11 km/h;1001m;2023.08.22_11.04.55;-97;-44.263813;-21.1270362
796;-99 4G;4G;17 km/h;1004m;2023.08.22_11.04.58;-99;-44.2637019;-21.1270811
797;-99 4G;4G;17 km/h;1005m;2023.08.22_11.05.00;-99;-44.2636079;-21.1271061
798;-102 4G;4G;18 km/h;1006m;2023.08.22_11.05.02;-102;-44.2635133;-21.1271319
799;-100 4G;4G;19 km/h;1007m;2023.08.22_11.05.04;-100;-44.2634151;-21.1271668
800;-95 4G;4G;17 km/h;1008m;2023.08.22_11.05.06;-95;-44.2633155;-21.1271789
801;-93 4G;4G;17 km/h;1009m;2023.08.22_11.05.09;-93;-44.2631876;-21.1271433
802;-93 4G;4G;16 km/h;1010m;2023.08.22_11.05.12;-93;-44.2631127;-21.1270375
803;-91 4G;4G;14 km/h;1011m;2023.08.22_11.05.15;-91;-44.2630443;-21.1269424
804;-91 4G;4G;16 km/h;1011m;2023.08.22_11.05.18;-91;-44.2629228;-21.1268911
805;-89 4G;4G;14 km/h;1012m;2023.08.22_11.05.22;-89;-44.2628016;-21.1268436
806;-84 4G;4G;19 km/h;1013m;2023.08.22_11.05.24;-84;-44.2627033;-21.1268062
807;-91 4G;4G;24 km/h;1014m;2023.08.22_11.05.26;-91;-44.2625877;-21.126763
808;-88 4G;4G;25 km/h;1014m;2023.08.22_11.05.28;-88;-44.2624593;-21.1267228
809;-83 4G;4G;25 km/h;1014m;2023.08.22_11.05.29;-83;-44.2624593;-21.1267228
810;-83 4G;4G;24 km/h;1015m;2023.08.22_11.05.30;-83;-44.2623346;-21.1266849
811;-80 4G;4G;18 km/h;1016m;2023.08.22_11.05.32;-80;-44.2622282;-21.1266585
812;-80 4G;4G;12 km/h;1016m;2023.08.22_11.05.36;-80;-44.2621255;-21.1266358
813;-84 4G;4G;15 km/h;1017m;2023.08.22_11.05.39;-84;-44.2620021;-21.1266198
814;-82 4G;4G;17 km/h;1019m;2023.08.22_11.05.42;-82;-44.2618793;-21.1266679
815;-79 4G;4G;16 km/h;1021m;2023.08.22_11.05.44;-79;-44.2618016;-21.1267213
816;-84 4G;4G;17 km/h;1021m;2023.08.22_11.05.47;-84;-44.2616825;-21.126776
817;-81 4G;4G;19 km/h;1020m;2023.08.22_11.05.50;-81;-44.2615415;-21.1268045
818;-75 4G;4G;19 km/h;1019m;2023.08.22_11.05.52;-75;-44.2614402;-21.1268151
819;-75 4G;4G;21 km/h;1016m;2023.08.22_11.05.54;-75;-44.2613266;-21.1268254
820;-83 4G;4G;23 km/h;1014m;2023.08.22_11.05.56;-83;-44.2612046;-21.1268361
821;-82 4G;4G;22 km/h;1011m;2023.08.22_11.05.58;-82;-44.2610818;-21.1268467
822;-79 4G;4G;24 km/h;1008m;2023.08.22_11.06.00;-79;-44.260949;-21.1268616
823;-91 4G;4G;19 km/h;1008m;2023.08.22_11.06.02;-91;-44.2608322;-21.1268724
824;-83 4G;4G;22 km/h;1006m;2023.08.22_11.06.04;-83;-44.2607166;-21.1268793
825;-83 4G;4G;26 km/h;1005m;2023.08.22_11.06.06;-83;-44.2605812;-21.126888
826;-89 4G;4G;25 km/h;1004m;2023.08.22_11.06.08;-89;-44.2604439;-21.1269067
827;-93 4G;4G;20 km/h;1002m;2023.08.22_11.06.10;-93;-44.2603293;-21.1269194
828;-97 4G;4G;19 km/h;1000m;2023.08.22_11.06.12;-97;-44.2602219;-21.1269247
829;-94 4G;4G;20 km/h;999m;2023.08.22_11.06.15;-94;-44.2600999;-21.1269203
830;-92 4G;4G;20 km/h;999m;2023.08.22_11.06.16;-92;-44.2600999;-21.1269203
831;-92 4G;4G;22 km/h;997m;2023.08.22_11.06.17;-92;-44.2599754;-21.1269248
832;-99 4G;4G;23 km/h;995m;2023.08.22_11.06.19;-99;-44.2598563;-21.1269261
833;-93 4G;4G;23 km/h;995m;2023.08.22_11.06.20;-93;-44.2598563;-21.1269261
834;-93 4G;4G;22 km/h;992m;2023.08.22_11.06.21;-93;-44.2597295;-21.1269307
835;-96 4G;4G;22 km/h;992m;2023.08.22_11.06.21;-96;-44.2597295;-21.1269307
836;-96 4G;4G;23 km/h;990m;2023.08.22_11.06.23;-96;-44.2596168;-21.126936
837;-96 4G;4G;28 km/h;987m;2023.08.22_11.06.25;-96;-44.259467;-21.1269395
838;-98 4G;4G;31 km/h;984m;2023.08.22_11.06.27;-98;-44.2593029;-21.1269431
839;-89 4G;4G;30 km/h;982m;2023.08.22_11.06.29;-89;-44.2591335;-21.1269413
840;-90 4G;4G;32 km/h;980m;2023.08.22_11.06.31;-90;-44.2589637;-21.1269471
841;-92 4G;4G;33 km/h;977m;2023.08.22_11.06.33;-92;-44.2587828;-21.1269619
842;-92 4G;4G;35 km/h;975m;2023.08.22_11.06.35;-92;-44.258592;-21.1269744
843;-93 4G;4G;31 km/h;974m;2023.08.22_11.06.37;-93;-44.2584168;-21.126982
844;-91 4G;4G;19 km/h;973m;2023.08.22_11.06.39;-91;-44.2582898;-21.1269895
845;-94 4G;4G;17 km/h;972m;2023.08.22_11.06.42;-94;-44.2581751;-21.1269959
846;-95 4G;4G;22 km/h;972m;2023.08.22_11.06.44;-95;-44.2580637;-21.1269738
847;-95 4G;4G;26 km/h;971m;2023.08.22_11.06.46;-95;-44.2579445;-21.1269145
848;-91 4G;4G;26 km/h;971m;2023.08.22_11.06.46;-91;-44.2579445;-21.1269145
849;-91 4G;4G;27 km/h;971m;2023.08.22_11.06.48;-91;-44.2578235;-21.1268425
850;-98 4G;4G;26 km/h;969m;2023.08.22_11.06.50;-98;-44.2577062;-21.1267688
851;-97 4G;4G;22 km/h;969m;2023.08.22_11.06.52;-97;-44.2576007;-21.1267105
852;-96 4G;4G;8 km/h;967m;2023.08.22_11.06.55;-96;-44.2575167;-21.1266624
853;-100 4G;4G;8 km/h;967m;2023.08.22_11.06.56;-100;-44.2575167;-21.1266624
854;-95 4G;4G;8 km/h;967m;2023.08.22_11.06.58;-95;-44.2575167;-21.1266624
855;-95 4G;4G;13 km/h;966m;2023.08.22_11.06.59;-95;-44.2574226;-21.1266128
856;-94 4G;4G;12 km/h;965m;2023.08.22_11.07.03;-94;-44.2573253;-21.1265726
857;-88 4G;4G;17 km/h;964m;2023.08.22_11.07.06;-88;-44.2572187;-21.1265043
858;-88 4G;4G;21 km/h;962m;2023.08.22_11.07.08;-88;-44.2571285;-21.1264454
859;-90 4G;4G;25 km/h;961m;2023.08.22_11.07.10;-90;-44.2570161;-21.1263816
860;-95 4G;4G;24 km/h;960m;2023.08.22_11.07.12;-95;-44.256899;-21.1263149
861;-95 4G;4G;21 km/h;959m;2023.08.22_11.07.14;-95;-44.2567955;-21.1262537
862;-96 4G;4G;20 km/h;958m;2023.08.22_11.07.16;-96;-44.2566954;-21.126203
863;-93 4G;4G;21 km/h;956m;2023.08.22_11.07.18;-93;-44.2565916;-21.1261524
864;-93 4G;4G;24 km/h;953m;2023.08.22_11.07.20;-93;-44.2564806;-21.126093
865;-92 4G;4G;24 km/h;951m;2023.08.22_11.07.22;-92;-44.2563656;-21.1260251
866;-100 4G;4G;20 km/h;949m;2023.08.22_11.07.24;-100;-44.2562659;-21.1259637
867;-101 4G;4G;7 km/h;948m;2023.08.22_11.07.28;-101;-44.2561714;-21.1259225
868;-101 4G;4G;12 km/h;947m;2023.08.22_11.07.32;-101;-44.2560659;-21.1259325
869;-99 4G;4G;19 km/h;947m;2023.08.22_11.07.34;-99;-44.2559742;-21.1259662
870;-100 4G;4G;21 km/h;946m;2023.08.22_11.07.36;-100;-44.2558715;-21.1260084
871;-103 4G;4G;23 km/h;946m;2023.08.22_11.07.38;-103;-44.2557557;-21.1260561
872;-105 4G;4G;24 km/h;946m;2023.08.22_11.07.40;-105;-44.2556366;-21.1261103
873;-106 4G;4G;23 km/h;945m;2023.08.22_11.07.42;-106;-44.2555203;-21.1261619
874;-99 4G;4G;24 km/h;945m;2023.08.22_11.07.44;-99;-44.2554004;-21.1262153
875;-95 4G;4G;23 km/h;945m;2023.08.22_11.07.46;-95;-44.2552771;-21.1262625
876;-94 4G;4G;16 km/h;945m;2023.08.22_11.07.50;-94;-44.255146;-21.126311
877;-95 4G;4G;22 km/h;945m;2023.08.22_11.07.52;-95;-44.2550422;-21.1263515
878;-95 4G;4G;22 km/h;945m;2023.08.22_11.07.54;-95;-44.2549283;-21.1263943
879;-98 4G;4G;17 km/h;946m;2023.08.22_11.07.56;-98;-44.2548323;-21.1264272
880;-103 4G;4G;12 km/h;945m;2023.08.22_11.07.59;-103;-44.2547415;-21.1264723
881;-104 4G;4G;16 km/h;945m;2023.08.22_11.08.02;-104;-44.2546274;-21.1265448
882;-104 4G;4G;9 km/h;945m;2023.08.22_11.08.05;-104;-44.254535;-21.1265791
883;-104 4G;4G;9 km/h;945m;2023.08.22_11.08.05;-104;-44.254535;-21.1265791
884;-100 4G;4G;9 km/h;945m;2023.08.22_11.08.07;-100;-44.254535;-21.1265791
885;-100 4G;4G;12 km/h;945m;2023.08.22_11.08.09;-100;-44.2544309;-21.126577
886;-99 4G;4G;20 km/h;943m;2023.08.22_11.08.12;-99;-44.2543331;-21.126473
887;-99 4G;4G;23 km/h;943m;2023.08.22_11.08.14;-99;-44.2542516;-21.1263904
888;-104 4G;4G;22 km/h;942m;2023.08.22_11.08.16;-104;-44.254166;-21.1263101
889;-106 4G;4G;22 km/h;942m;2023.08.22_11.08.16;-106;-44.254166;-21.1263101
890;-106 4G;4G;21 km/h;940m;2023.08.22_11.08.18;-106;-44.2540776;-21.1262327
891;-105 4G;4G;22 km/h;938m;2023.08.22_11.08.20;-105;-44.2539911;-21.1261537
892;-103 4G;4G;22 km/h;938m;2023.08.22_11.08.21;-103;-44.2539911;-21.1261537
893;-103 4G;4G;25 km/h;937m;2023.08.22_11.08.22;-103;-44.2538923;-21.1260651
894;-103 4G;4G;24 km/h;935m;2023.08.22_11.08.24;-103;-44.2538012;-21.1259759
895;-105 4G;4G;23 km/h;934m;2023.08.22_11.08.26;-105;-44.253708;-21.1258921
896;-100 4G;4G;23 km/h;934m;2023.08.22_11.08.27;-100;-44.253708;-21.1258921
897;-100 4G;4G;24 km/h;932m;2023.08.22_11.08.28;-100;-44.2536143;-21.1258081
898;-100 4G;4G;24 km/h;930m;2023.08.22_11.08.30;-100;-44.2535137;-21.1257191
899;-99 4G;4G;24 km/h;929m;2023.08.22_11.08.31;-99;-44.2534203;-21.1256367
900;-99 4G;4G;23 km/h;928m;2023.08.22_11.08.34;-99;-44.2533314;-21.1255504
901;-96 4G;4G;22 km/h;926m;2023.08.22_11.08.36;-96;-44.2532396;-21.1254753
902;-97 4G;4G;22 km/h;926m;2023.08.22_11.08.38;-97;-44.2531459;-21.1254042
903;-98 4G;4G;23 km/h;925m;2023.08.22_11.08.40;-98;-44.253058;-21.1253212
904;-94 4G;4G;21 km/h;925m;2023.08.22_11.08.42;-94;-44.2529742;-21.1252387
905;-94 4G;4G;20 km/h;925m;2023.08.22_11.08.44;-94;-44.2528955;-21.1251614
906;-96 4G;4G;13 km/h;925m;2023.08.22_11.08.47;-96;-44.252804;-21.125071
907;-97 4G;4G;14 km/h;925m;2023.08.22_11.08.50;-97;-44.2527466;-21.124991
908;-98 4G;4G;20 km/h;926m;2023.08.22_11.08.53;-98;-44.2526915;-21.1248629
909;-97 4G;4G;24 km/h;927m;2023.08.22_11.08.55;-97;-44.2526643;-21.1247501
910;-99 4G;4G;25 km/h;928m;2023.08.22_11.08.57;-99;-44.2526332;-21.1246275
911;-93 4G;4G;25 km/h;928m;2023.08.22_11.08.57;-93;-44.2526332;-21.1246275
912;-93 4G;4G;26 km/h;929m;2023.08.22_11.08.59;-93;-44.2526036;-21.1244994
913;-94 4G;4G;29 km/h;929m;2023.08.22_11.09.01;-94;-44.2525743;-21.1243609
914;-99 4G;4G;28 km/h;930m;2023.08.22_11.09.03;-99;-44.2525399;-21.1242169
915;-93 4G;4G;24 km/h;931m;2023.08.22_11.09.05;-93;-44.2525088;-21.1240918
916;-95 4G;4G;19 km/h;932m;2023.08.22_11.09.07;-95;-44.2524852;-21.1239893
917;-97 4G;4G;4 km/h;932m;2023.08.22_11.09.11;-97;-44.2524642;-21.1238953
918;-98 4G;4G;17 km/h;933m;2023.08.22_11.09.15;-98;-44.2524431;-21.1237936
919;-97 4G;4G;20 km/h;934m;2023.08.22_11.09.17;-97;-44.252423;-21.1237013
920;-97 4G;4G;24 km/h;935m;2023.08.22_11.09.19;-97;-44.2524008;-21.1235843
921;-98 4G;4G;24 km/h;935m;2023.08.22_11.09.21;-98;-44.2523965;-21.1234613
922;-98 4G;4G;18 km/h;936m;2023.08.22_11.09.23;-98;-44.2524066;-21.12336
923;-98 4G;4G;21 km/h;936m;2023.08.22_11.09.25;-98;-44.2524241;-21.1232648
924;-95 4G;4G;28 km/h;937m;2023.08.22_11.09.27;-95;-44.252459;-21.1231377
925;-98 4G;4G;33 km/h;937m;2023.08.22_11.09.29;-98;-44.2525185;-21.1229867
926;-98 4G;4G;34 km/h;939m;2023.08.22_11.09.31;-98;-44.2525996;-21.1228315
927;-91 4G;4G;31 km/h;940m;2023.08.22_11.09.33;-91;-44.2526914;-21.122697
928;-90 4G;4G;30 km/h;943m;2023.08.22_11.09.35;-90;-44.2528071;-21.1225952
929;-94 4G;4G;27 km/h;945m;2023.08.22_11.09.37;-94;-44.2529272;-21.1225129
930;-97 4G;4G;22 km/h;947m;2023.08.22_11.09.39;-97;-44.2530282;-21.1224451
931;-95 4G;4G;21 km/h;948m;2023.08.22_11.09.41;-95;-44.2531204;-21.1223748
932;-95 4G;4G;23 km/h;949m;2023.08.22_11.09.43;-95;-44.2532153;-21.1223027
933;-94 4G;4G;25 km/h;950m;2023.08.22_11.09.45;-94;-44.2533235;-21.1222287
934;-97 4G;4G;26 km/h;951m;2023.08.22_11.09.47;-97;-44.2534359;-21.1221496
935;-101 4G;4G;26 km/h;952m;2023.08.22_11.09.49;-101;-44.2535477;-21.1220683
936;-101 4G;4G;27 km/h;953m;2023.08.22_11.09.51;-101;-44.2536628;-21.1219857
937;-99 4G;4G;27 km/h;954m;2023.08.22_11.09.53;-99;-44.2537766;-21.1219007
938;-109 4G;4G;25 km/h;955m;2023.08.22_11.09.55;-109;-44.2538847;-21.1218195
939;-99 4G;4G;25 km/h;955m;2023.08.22_11.09.55;-99;-44.2538847;-21.1218195
940;-101 4G;4G;24 km/h;955m;2023.08.22_11.09.57;-101;-44.2539904;-21.1217437
941;-101 4G;4G;22 km/h;955m;2023.08.22_11.09.59;-101;-44.2540902;-21.1216767
942;-102 4G;4G;20 km/h;955m;2023.08.22_11.10.01;-102;-44.2541808;-21.1216206
943;-109 4G;4G;22 km/h;953m;2023.08.22_11.10.03;-109;-44.254271;-21.1215491
944;-108 4G;4G;23 km/h;953m;2023.08.22_11.10.05;-108;-44.2543427;-21.1214496
945;-110 4G;4G;28 km/h;954m;2023.08.22_11.10.07;-110;-44.2543791;-21.1213274
946;-110 4G;4G;26 km/h;957m;2023.08.22_11.10.09;-110;-44.2543645;-21.1211907
947;-112 4G;4G;16 km/h;959m;2023.08.22_11.10.11;-112;-44.2543588;-21.1210985
948;-107 4G;4G;14 km/h;961m;2023.08.22_11.10.14;-107;-44.2543458;-21.1209881
949;-105 4G;4G;12 km/h;962m;2023.08.22_11.10.19;-105;-44.2543953;-21.1208866
950;-99 4G;4G;17 km/h;964m;2023.08.22_11.10.22;-99;-44.2545218;-21.1208646
951;-103 4G;4G;17 km/h;966m;2023.08.22_11.10.25;-103;-44.254658;-21.120835
952;-100 4G;4G;12 km/h;967m;2023.08.22_11.10.28;-100;-44.2547762;-21.1207969
953;-97 4G;4G;8 km/h;967m;2023.08.22_11.10.32;-97;-44.2548563;-21.1207289
954;-105 4G;4G;14 km/h;967m;2023.08.22_11.10.35;-105;-44.2548454;-21.1206382
955;-109 4G;4G;21 km/h;966m;2023.08.22_11.10.37;-109;-44.2548002;-21.1205475
956;-107 4G;4G;8 km/h;966m;2023.08.22_11.10.40;-107;-44.2547558;-21.120452
957;-103 4G;4G;21 km/h;965m;2023.08.22_11.10.43;-103;-44.2547042;-21.1203324
958;-110 4G;4G;27 km/h;965m;2023.08.22_11.10.45;-110;-44.2546429;-21.1202208
959;-109 4G;4G;28 km/h;966m;2023.08.22_11.10.47;-109;-44.2545715;-21.1200954
960;-109 4G;4G;20 km/h;966m;2023.08.22_11.10.49;-109;-44.2545172;-21.1199826
961;-82 4G;4G;20 km/h;966m;2023.08.22_11.10.49;-82;-44.2545172;-21.1199826
962;-81 4G;4G;15 km/h;968m;2023.08.22_11.10.53;-81;-44.2544685;-21.1198773
963;-81 4G;4G;19 km/h;968m;2023.08.22_11.10.55;-81;-44.2544242;-21.119786
964;-81 4G;4G;21 km/h;969m;2023.08.22_11.10.57;-81;-44.2543782;-21.1196905
965;-84 4G;4G;19 km/h;970m;2023.08.22_11.10.59;-84;-44.2543297;-21.1195921
966;-77 4G;4G;11 km/h;973m;2023.08.22_11.11.03;-77;-44.2542902;-21.1194962
967;-77 4G;4G;18 km/h;973m;2023.08.22_11.11.06;-77;-44.2542306;-21.1193766
968;-83 4G;4G;19 km/h;974m;2023.08.22_11.11.08;-83;-44.2542116;-21.1192866
969;-85 4G;4G;21 km/h;974m;2023.08.22_11.11.10;-85;-44.2542072;-21.1191868
970;-85 4G;4G;22 km/h;975m;2023.08.22_11.11.12;-85;-44.2542062;-21.1190735
971;-87 4G;4G;24 km/h;976m;2023.08.22_11.11.14;-87;-44.2542108;-21.1189543
972;-86 4G;4G;23 km/h;977m;2023.08.22_11.11.16;-86;-44.2542213;-21.1188334
973;-86 4G;4G;24 km/h;977m;2023.08.22_11.11.18;-86;-44.2542235;-21.1187121
974;-88 4G;4G;28 km/h;978m;2023.08.22_11.11.20;-88;-44.2542266;-21.1185782
975;-89 4G;4G;28 km/h;978m;2023.08.22_11.11.22;-89;-44.2542332;-21.1184401
976;-88 4G;4G;30 km/h;978m;2023.08.22_11.11.24;-88;-44.2542391;-21.1182911
977;-88 4G;4G;31 km/h;978m;2023.08.22_11.11.26;-88;-44.2542469;-21.1181342
978;-82 4G;4G;21 km/h;979m;2023.08.22_11.11.28;-82;-44.2542508;-21.1180007
979;-82 4G;4G;16 km/h;979m;2023.08.22_11.11.31;-82;-44.2541781;-21.1179082
980;-82 4G;4G;20 km/h;979m;2023.08.22_11.11.33;-82;-44.2540735;-21.1179011
981;-85 4G;4G;22 km/h;979m;2023.08.22_11.11.35;-85;-44.2539418;-21.1179097
982;-87 4G;4G;22 km/h;979m;2023.08.22_11.11.37;-87;-44.2538296;-21.1178827
983;-89 4G;4G;23 km/h;977m;2023.08.22_11.11.39;-89;-44.2537306;-21.1178126
984;-90 4G;4G;28 km/h;976m;2023.08.22_11.11.41;-90;-44.2536327;-21.1177142
985;-90 4G;4G;32 km/h;975m;2023.08.22_11.11.43;-90;-44.2535202;-21.1175984
986;-88 4G;4G;33 km/h;974m;2023.08.22_11.11.45;-88;-44.2533968;-21.1174741
987;-89 4G;4G;34 km/h;973m;2023.08.22_11.11.47;-89;-44.2532684;-21.1173496
988;-79 4G;4G;33 km/h;973m;2023.08.22_11.11.49;-79;-44.2531429;-21.117223
989;-78 4G;4G;31 km/h;973m;2023.08.22_11.11.51;-78;-44.253026;-21.1171056
990;-77 4G;4G;32 km/h;973m;2023.08.22_11.11.53;-77;-44.2529059;-21.1169921
991;-77 4G;4G;33 km/h;973m;2023.08.22_11.11.55;-77;-44.2527682;-21.1168877
992;-73 4G;4G;33 km/h;973m;2023.08.22_11.11.57;-73;-44.2526171;-21.1167998
993;-72 4G;4G;34 km/h;973m;2023.08.22_11.11.59;-72;-44.2524475;-21.1167333
994;-72 4G;4G;35 km/h;973m;2023.08.22_11.12.01;-72;-44.2522733;-21.1166673
995;-72 4G;4G;35 km/h;973m;2023.08.22_11.12.02;-72;-44.252183;-21.1166338
996;-74 4G;4G;32 km/h;972m;2023.08.22_11.12.04;-74;-44.2520136;-21.116575
997;-79 4G;4G;28 km/h;971m;2023.08.22_11.12.06;-79;-44.2518693;-21.1165241
998;-79 4G;4G;25 km/h;969m;2023.08.22_11.12.08;-79;-44.2517381;-21.116474
999;-83 4G;4G;21 km/h;968m;2023.08.22_11.12.10;-83;-44.2516254;-21.1164334
1000;-89 4G;4G;21 km/h;967m;2023.08.22_11.12.12;-89;-44.2515127;-21.1164297
1001;-89 4G;4G;19 km/h;967m;2023.08.22_11.12.14;-89;-44.2514008;-21.1164269
1002;-84 4G;4G;20 km/h;967m;2023.08.22_11.12.16;-84;-44.2513377;-21.1163477
1003;-89 4G;4G;27 km/h;966m;2023.08.22_11.12.18;-89;-44.2512675;-21.1162351
1004;-85 4G;4G;31 km/h;966m;2023.08.22_11.12.20;-85;-44.2511534;-21.1161228
1005;-79 4G;4G;32 km/h;966m;2023.08.22_11.12.22;-79;-44.2510548;-21.1159902
1006;-91 4G;4G;34 km/h;965m;2023.08.22_11.12.24;-91;-44.2510062;-21.1158214
1007;-79 4G;4G;37 km/h;964m;2023.08.22_11.12.26;-79;-44.2509888;-21.1156408
1008;-79 4G;4G;37 km/h;963m;2023.08.22_11.12.27;-79;-44.2509843;-21.115547
1009;-79 4G;4G;37 km/h;963m;2023.08.22_11.12.28;-79;-44.2509778;-21.1154527
1010;-92 4G;4G;37 km/h;962m;2023.08.22_11.12.29;-92;-44.2509726;-21.1153596
1011;-92 4G;4G;36 km/h;962m;2023.08.22_11.12.30;-92;-44.2509655;-21.1152689
1012;-92 4G;4G;36 km/h;962m;2023.08.22_11.12.31;-92;-44.2509596;-21.115177
